都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,通称,通称_カナ,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,URL,備考
131130,54,東京都,渋谷区,本町さくら公園,ホンマチサクラコウエン,,,,東京都渋谷区本町2-21-1,,,35.6836462,139.6805386,2,1,,1,1,,1,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E6%9C%AC%E7%94%BA%E3%81%95%E3%81%8F%E3%82%89%E5%85%AC%E5%9C%92/@35.683654,139.6783399,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f325fdc9a883:0xb6da086a0e1ceda9!8m2!3d35.683654!4d139.6805339?hl=ja",
131130,55,東京都,渋谷区,二軒家公園,ニケンヤコウエン,,,,東京都渋谷区本町3-30-12,,,35.6903759,139.6828587,1,,,1,1,,1,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E4%BA%8C%E8%BB%92%E5%AE%B6%E5%85%AC%E5%9C%92/@35.6906983,139.6811488,17z/data=!4m12!1m6!3m5!1s0x6018f2d7c84ee615:0xbf7031faade8dc11!2z5riL6LC35Yy656uL5LqM6LuS5a625YWs5ZyS!8m2!3d35.6903759!4d139.6828587!3m4!1s0x6018f2d7c84ee615:0xbf7031faade8dc11!8m2!3d35.6903759!4d139.6828587",
131130,56,東京都,渋谷区,二軒家ふるさと公園,ニケンヤフルサトコウエン,,,,東京都渋谷区本町3-35-8,,,35.6893077,139.6809175,,,,,,,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E4%BA%8C%E8%BB%92%E5%AE%B6%E3%81%B5%E3%82%8B%E3%81%95%E3%81%A8%E5%85%AC%E5%9C%92/@35.6893077,139.6787235,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f2d81df43481:0xc1d7a28760e01d68!8m2!3d35.6893077!4d139.6809175?hl=ja",
131130,57,東京都,渋谷区,本町公園,ホンマチコウエン,,,,東京都渋谷区本町4-5-7,,,35.6864726,139.6810432,3,2,1,,1,1,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E6%9C%AC%E7%94%BA%E5%85%AC%E5%9C%92/@35.6865565,139.6789645,17z/data=!4m5!3m4!1s0x6018f3287f17eafb:0x172f382c2b8f4655!8m2!3d35.6865426!4d139.6811219",
131130,58,東京都,渋谷区,本町北児童遊園地,ホンマチキタジドウユウエンチ,,,,東京都渋谷区本町4-33-3,,,35.6855317,139.6802676,2,1,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%9C%AC%E7%94%BA%E5%8C%97%E5%85%90%E7%AB%A5%E9%81%8A%E5%9C%92%E5%9C%B0/@35.6855779,139.6780729,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f32631996f8f:0xc71cf6226b43830!8m2!3d35.6855779!4d139.6802669?hl=ja",
131130,59,東京都,渋谷区,本町南児童公園,ホンマチミナミジドウコウエン,,,,東京都渋谷区本町5-5-10,,,35.6838767,139.678241,,,,,,,,1,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E6%9C%AC%E7%94%BA%E5%8D%97%E5%85%90%E7%AB%A5%E5%85%AC%E5%9C%92/@35.6833727,139.6766546,16z/data=!4m8!1m2!2m1!1z5pys55S65Y2X5YWQ56ul5YWs5ZyS!3m4!1s0x6018f3268afb40e9:0x98b5b1d798298034!8m2!3d35.6838767!4d139.678241",
131130,60,東京都,渋谷区,本町氷川公園,ホンマチヒカワコウエン,,,,東京都渋谷区本町5-12-3,,,35.6844713,139.6771006,2,1,1,,1,1,,,,,,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E6%9C%AC%E7%94%BA%E6%B0%B7%E5%B7%9D%E5%85%AC%E5%9C%92/@35.6844687,139.6749235,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f326e09e2983:0x83e745acfdffdbbc!8m2!3d35.6844687!4d139.6771175",
131130,61,東京都,渋谷区,幡ヶ谷第一公園,ハタガヤダイイチコウエン,,,,東京都渋谷区幡ヶ谷1-11-2,,,35.674922,139.6717724,2,1,,1,,,,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%AB%8B%E5%B9%A1%E3%83%B6%E8%B0%B7%E7%AC%AC%E4%B8%80%E5%85%AC%E5%9C%92/@35.674922,139.6695784,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f33d46f43fdd:0xd5c604fe757d505c!8m2!3d35.674922!4d139.6717724",
131130,62,東京都,渋谷区,幡ヶ谷ひだまり公園,ハタガヤヒダマリコウエン,,,,東京都渋谷区幡ヶ谷2-42-6,,,35.6781023,139.6744627,3,2,,1,2,,2,,,,有,,,,,,,,,"https://www.google.com/maps/place/%E5%B9%A1%E3%82%B1%E8%B0%B7%E3%81%B2%E3%81%A0%E3%81%BE%E3%82%8A%E5%85%AC%E5%9C%92/@35.6781023,139.6722687,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f32314951257:0x14eddc08a67f429e!8m2!3d35.6781023!4d139.6744627",
131130,63,東京都,渋谷区,六号通り公園,ロクゴウドオリコウエン,,,,東京都渋谷区幡ヶ谷2-50-6,,,35.680061,139.6777108,2,2,,,,,,1,,,,,,,,,,,,"https://www.google.com/maps/place/%E5%85%AD%E5%8F%B7%E9%80%9A%E3%82%8A%E5%85%AC%E5%9C%92/@35.680061,139.6755168,17z/data=!3m1!4b1!4m5!3m4!1s0x6018f324f753c7c3:0xf7ec959fb50778f3!8m2!3d35.680061!4d139.6777108",
